
<<<<<<< HEAD
1e-06, 0.0%

1e-06, 94.56521739130434%
2e-06, 92.66304347826086%
3e-06, 95.92391304347827%
4e-06, 94.83695652173913%
5e-06, 94.56521739130434%
6e-06, 95.92391304347827%
7e-06, 94.56521739130434%
8e-06, 95.92391304347827%
9e-06, 95.92391304347827%
=======
9e-06, 95.65217391304348%
9.5e-06, 96.73913043478261%
1e-05, 97.01086956521738%
1.5e-05, 96.19565217391303%
2e-05, 95.92391304347827%
2.5e-05, 97.82608695652173%
3e-05, 96.46739130434783%
3.5e-05, 95.1086956521739%
4e-05, 95.65217391304348%
>>>>>>> 57cb97a2eda3cba150b326cc9a0caca36c4f09a0

2.463660961176517e-05, 100.0%
2.5431825937491764e-05, 100.0%
2.5126793952198473e-05, 0.0%
2.4141325399914138e-05, 100.0%
2.311887237092639e-05, 100.0%

1e-05, 50.0%
2e-05, 0.0%
3e-05, 50.0%
4e-05, 50.0%
5e-05, 50.0%
6e-05, 50.0%
7e-05, 50.0%
8e-05, 50.0%
9e-05, 0.0%

1e-05, 100.0%
2e-05, 50.0%
3e-05, 50.0%

0.0009, 95.5163043478261%
0.0095, 94.56521739130434%
0.001, 96.73913043478261%
0.0015, 95.78804347826086%
0.002, 95.78804347826086%

0.001, 50.0%

0.001, 96.19565217391303%

9e-06, 91.03260869565217%
9.5e-06, 91.03260869565217%
1e-05, 92.79891304347827%
1.5e-05, 93.20652173913044%
2e-05, 92.79891304347827%
2.5e-05, 94.29347826086956%
3e-05, 92.66304347826086%
3.5e-05, 94.70108695652173%
4e-05, 94.97282608695652%

0.001, 95.92391304347827%
0.00101, 96.05978260869566%
0.0011, 96.6032608695652%
0.00099, 95.1086956521739%
0.00098, 96.33152173913044%
2.5e-05, 94.29347826086956%
2.3e-05, 93.34239130434783%
2.4e-05, 94.15760869565217%
0.000444, 96.875%
4.4e-05, 94.83695652173913%
2.344e-05, 93.88586956521738%
0.001, 96.19565217391303%
0.0010001, 96.19565217391303%
0.000999999, 97.14673913043478%

0.0011, 95.5163043478261%

0.0011, 95.65217391304348%

0.0011, 95.78804347826086%
0.00105, 96.05978260869566%
0.00115, 96.6032608695652%

0.0012, 95.65217391304348%

0.00115, 95.65217391304348%
